model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
KIA FORTE K3 1.6A                                      ,  51800 ,       13483 ,   74210 ,18-Aug-2017       ,     3.4 ,          1 , 11768 ,  11768 ,  953 ,    1591 ,"Sports rims, factory audio system with Bluetooth, reverse sensors and recording cam, knockdown seats, new fog lights."
MG HS 1.5T AT                                          , 134800 ,       16597 ,   25199 ,30-Sep-2021       ,     7.5 ,          2 , 19787 ,  19787 , 1190 ,    1490 ,"Sports rims, driver & passenger electric leather seats, factory fitted touch screen audio with apple carplay & android auto, eco & sport mode, sunroof"
SUBARU XV 2.0I-S EYESIGHT AWD CVT                      ,  79800 ,       14364 ,   90000 ,25-Apr-2019       ,     5.1 ,          2 , 13360 ,  13360 , 1150 ,    1995 ,Electric folding side mirrors. Multi-function steering wheel. Keyless entry & engine start. EyeSight driver assist technology. Electric park brake. In Car Camera
MERCEDES BENZ C180 AVANTGARDE (R17 LED)                , 116800 ,       23667 ,   85700 ,22-Mar-2018       ,     4.0 ,          2 , 37426 ,  44397 , 1150 ,    1595 ,"Factory infotainment/Bluetooth/audio system, Reverse camera, Leather seats, 17"" Sports rims, Auto Tailgate, Auto headlamp, Ambient lights, Tinted film"
TOYOTA C-HR HYBRID 1.8G CVT                            ,  81500 ,       17233 ,   55500 ,29-Jun-2018       ,     4.3 ,          2 , 31341 ,  15878 ,  900 ,    1797 ,"Keyless entry/start/stop. Pioneer head unit with reverse camera, multi steering controls, auto headlight, leather seats, pre-crash safety."
HONDA FREED HYBRID 1.5G AUTO                           ,  98500 ,       17182 ,   48000 ,06-Jun-2019       ,     5.2 ,          1 , 25797 ,  18116 , 1010 ,    1496 ,"Lane keep assist, dual power sliding door. DVD player with reverse camera/sensor. Multi function steering, Honda Sensing with anti-collision."
SUBARU XV 2.0I-S EYESIGHT AWD CVT                      ,  94500 ,       15340 ,   78000 ,21-Nov-2019       ,     5.7 ,          1 , 15172 ,  15172 , 1150 ,    1995 ,"Adaptive cruise control, lane departure warning, pre-collision braking, roof railings, fog lights, reverse sensors/camera, sport rims 18"" rims."
MAZDA 6 SEDAN 2.0 AT EXECUTIVE EU6                     ,  74500 ,       16050 ,   74968 ,20-Feb-2018       ,     3.9 ,          1 , 22436 ,  23411 , 1210 ,    1998 ,"Sports rims, Bose audio system HUD, multi function steering control, Bluetooth, navigation, front & rear sensors, reverse camera, retractable mirrors."
MITSUBISHI ASX 2.0 CVT ABS D/AIRBAG 2WD                ,  51500 ,       16568 ,   66700 ,07-Oct-2016       ,     2.5 ,          1 , 18844 ,  18844 , 1100 ,    1998 ,"Keyless entry/push start, factory head unit with Bluetooth, reverse camera, auto retractable side mirror, leather seats."
NISSAN KICKS PREMIUM PLUS 1.2L E-POWER                 , 113498 ,       16201 ,   45800 ,17-Sep-2020       ,     6.5 ,          1 , 24846 ,  16785 ,  950 ,    1198 ,"Multi function steering wheel, infotainment system with Bluetooth, Apple/Android CarPlay, reverse camera/sensors, sports rims, Nappa leather."
