model                                                  ,price   ,depreciation ,milleage ,registration_date ,coe_left ,no_of_owner ,omv    ,arf     ,power ,capacity ,accessories
OPEL GRANDLAND X B12XHT AT                             , 105800 ,       13659 ,   55000 ,01-Oct-2020       ,     6.5 ,          2 , 29519 ,  33327 ,  960 ,    1199 ,"Sports Rims, Leather Ventilated Seats, 360 Degree View Camera, Park Assist, Blind Spot Indicator, Power Tailgate."
PEUGEOT 2008 ACTIVE PURETECH 1.2 EAT6 (FL) S/R         ,  68800 ,       15215 ,   54000 ,08-Jun-2018       ,     4.2 ,          1 , 19461 ,   9461 ,  810 ,    1199 ,"Apple Carplay/Android Auto, Bluetooth, Multi Zone Aircon, Reverse Camera, Panoramic Roof."
BENTLEY FLYING SPUR W12                                ,1084000 ,      134791 ,   40000 ,18-Sep-2020       ,     6.5 ,          2 ,247947 , 418305 , 4670 ,    5950 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry, Keyless Engine Start, Multi-zone Aircon, Sunroof"
TOYOTA WISH 1.8 CVT                                    ,  54800 ,       17516 ,   76800 ,14-Oct-2016       ,     2.6 ,          1 , 19955 ,  19955 , 1050 ,    1798 ,"Leather Seats, Audio Player, Reverse Camera, Retractable Side Mirrors, Solar Films."
BMW 316I 1.6 AT D/AB 4DR ABS HID                       ,  57800 ,       14074 ,  129000 ,02-May-2013       ,     4.1 ,          5 , 31902 ,  26663 , 1000 ,    1598 ,"Electric memories seats, BMW factory audio system, sports rims, iDrive with Bluetooth, keyless entry/start, multi function steering control."
VOLKSWAGEN GOLF 1.4 TSI CL                             , 100800 ,       14204 ,   50819 ,17-Aug-2020       ,     6.4 ,          2 , 19705 ,  19705 ,  920 ,    1395 ,"Sport rims, auto LED headlights, LED DRL, reverse camera, front and rear sensors, auto rain sensors, knockdown rear seats, fog lamp, rear aircon."
BMW 528I AT DSC HID NAV                                , 149800 ,      167582 ,  155957 ,19-Dec-2014       ,     0.7 ,          3 , 46193 ,  51671 , 1800 ,    1997 ,"Keyless entry/start, leather seats, reverse camera/sensors, power tailgate with kick boot, navigation, Bluetooth."
MAZDA 2 HATCHBACK 1.5 AT STANDARD 2WD                  ,  72800 ,       12708 ,   62634 ,22-May-2019       ,     5.2 ,          2 , 14272 ,  14272 ,  850 ,    1496 ,Factory Fitted Bluetooth Media System. Sports Rims. Leather Seats. USB Slot. Reverse Sensors. Electric Folding Mirrors.
KIA CERATO 1.6(A) EX                                   , 105800 ,       16392 ,   93000 ,23-Mar-2020       ,     6.0 ,          2 , 14902 ,  14902 ,  938 ,    1591 ,"Sports rims, leather seats, retracable side mirror/indicator, rear aircon, factory fitted audio, reverse senor/camera, bluetooth, rear knock down seat"
PORSCHE CAYENNE E-HYBRID COUPE                         , 520000 ,       49758 ,   10000 ,04-Nov-2022       ,     8.6 ,          1 ,109992 , 181983 , 3400 ,    2995 ,"Porsche PASM & PDLS, TPM, Sport Chrono Pack, Keyless Entyry/Start, Panoramic Glass Roof. AWD."
BMW X1 SDRIVE18I AT D/AB 2WD 5DR GAS/D SR              ,  93000 ,       14426 ,  156000 ,29-Sep-2010       ,     6.4 ,          6 , 28542 ,  28542 , 1100 ,    1995 ,"Sunroof, driver electric memory seat, sports rims, factory fitted audio/bt/rev camera/sensor, fog light, auto folding mirror, multi steering controls."
PORSCHE CAYMAN TIPTRONIC                               , 101888 ,       25560 ,  230000 ,18-Mar-2008       ,     4.0 ,          2 , 82514 ,  82514 , 1800 ,    2687 ,"19"" Porsche Sport Rims. All In Stock Condition. All Wear And Tear Repaired. Electric Memory Seat, In Car Recording Camera."
NISSAN X-TRAIL 2.0 CVT                                 ,  94000 ,       16410 ,   86000 ,26-Feb-2019       ,     4.9 ,          2 , 24391 ,  26148 , 1060 ,    1997 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
TOYOTA VELLFIRE 3.5Z G-EDITION A                       , 105800 ,       18584 ,  135000 ,21-May-2010       ,     5.7 ,          5 , 51560 ,  51560 , 2060 ,    3456 ,Electric function pilot seats. Twin Moonroof. Premium leather seats. Pioneer infotainment. Reverse camera & sensors. Electric tailgate. Rear aircons.
LEXUS UX200 5DR SUV (AT) (2WD) EXECUTIVE               , 169800 ,       19314 ,   27000 ,10-Dec-2021       ,     7.7 ,          1 , 35342 ,  41479 , 1270 ,    1987 ,"Keyless Entry/start, Lane Departure Alert, Factory Fitted Audio With Navigation, Reverse Camera, Multi Function Steering."
MITSUBISHI OUTLANDER 2.4 CVT AWD S/R FACELIFT          ,  45800 ,       17082 ,  119000 ,08-Apr-2016       ,     2.0 ,          2 , 21335 ,  21869 , 1230 ,    2360 ,7 Seaters SUV. Driver Electric Seats. Electric Parking Brake. Multi Zone Aircon. Leather Seats. Halogen Headlights. Paddle Shifters. Auto Fold Mirrors
PORSCHE PANAMERA                                       , 123800 ,       18970 ,  135898 ,18-Jan-2011       ,     6.5 ,          4 ,107606 , 107606 , 3000 ,    3605 ,"Electric park brake, multi function steering wheel, keyless entry/start, driver electric seat, knockdown rear seats, electric tailgate, cruise control"
VOLVO S60 T2 A/T                                       ,  59500 ,       14309 ,   96783 ,22-May-2017       ,     3.2 ,          4 , 26087 ,  28522 ,  900 ,    1498 ,"Electric/memory leather seats, sports rims, reverse sensors, Bluetooth, auto headlights, cruise control, paddle shifts, keyless entry/push start/stop."
FORD MUSTANG 2.3 GTDI AT                               , 163800 ,       55748 ,   77133 ,13-Sep-2016       ,     2.5 ,          1 , 42470 ,  51458 , 2332 ,    2261 ,Premium audio system. Keyless entry start/stop. Bi-xenon headlights and reverse camera. Original Sport Rims. Apple CarPlay.
BMW 520I LED NAV                                       , 108800 ,       22596 ,   91000 ,27-Sep-2017       ,     3.5 ,          1 , 47763 ,  58869 , 1350 ,    1998 ,"BMW touch command, gesture control, GPS, Bluetooth, connected drive, BMW advanced Careye dashcam front & back, gear shift paddles, 19 inch sport rims."
"MERCEDES BENZ AMG SL43 CONVERTIBLE RAS, DL"           , 748500 ,       67386 ,    1000 ,26-Apr-2023       ,     9.1 ,          1 ,150509 , 271120 , 2900 ,    1991 ,"AMG 20"" Wheels, AMG Steering Wheels, Burmester Surround Sound System, Elegant Signature Brown Leather Interior, Digital Display, Soft Top Cabriolet."
MERCEDES BENZ CLA200 AMG LINE (R18 BI)                 , 116688 ,       11669 ,  144000 ,28-Apr-2014       ,     0.1 ,          5 , 29920 ,  23888 , 1150 ,    1595 ,"OZ Racing 19"" Sports Rim, AMG Bodykit, AMG Calipers, Upgraded Android Player, Electronic Seats, Multifunction Steering Wheel, Reverse Camera/Sensors,"
KIA FORTE K3 1.6A                                      , 108688 ,       10869 ,   88000 ,11-Sep-2014       ,     0.5 ,          1 , 13689 ,   8689 ,  953 ,    1591 ,"Leather seats, sports rims, factory fitted audio system, auto retractable side mirror with signal indicator, reverse sensor."
BMW 216I ACTIVE TOURER MSPT ALED                       , 197200 ,       19070 ,    5000 ,21-Jul-2023       ,     9.3 ,          1 , 33206 ,  38489 ,  900 ,    1499 ,"Latest infotainment system, including a large touch screen display, apple car play, android auto, walk away auto door lock, auto tailgate."
HYUNDAI LM TUCSON 2.0L AUTO ABS D/AB SR                ,  79800 ,       13611 ,  116000 ,01-Feb-2010       ,     5.9 ,          5 , 20903 ,  20903 , 1220 ,    1998 ,"Android touch screen player, Brembo brake kit, reverse camera, in car camera. Dual Sunroof."
MERCEDES BENZ C 180                                    ,  91300 ,       12552 ,  130000 ,01-Aug-2011       ,     7.3 ,          2 , 38863 ,  38863 , 1150 ,    1796 ,"7 speed automatic gearbox, agent unit, brand new paintwork with coat, black interior leather."
HONDA JAZZ 1.5L A                                      ,  68800 ,       12450 ,   83000 ,23-Oct-2009       ,     5.5 ,          1 , 24443 ,  24443 ,  880 ,    1497 ,"Paddle shift, Panaromic roof view, Sport rim, New paintworks, Original conditions by Kah Motor."
ASTON MARTIN V8 VANTAGE COUPE SPORTSHIFT               , 215800 ,       53619 ,   39000 ,04-Apr-2008       ,     4.0 ,          2 ,195607 , 195607 , 2830 ,    4282 ,"New leather seats, Multi-function Steering Wheel, Cruise Control, Navigational Infotainment System"
BMW X1 SDRIVE18I LED NAV                               ,  93188 ,       17184 ,   70000 ,13-Jun-2018       ,     4.2 ,          2 , 35132 ,  41185 , 1030 ,    1499 ,"BMW iDrive unit, sports rims, reverse camera/sensors, dual electric seats, auto tailgate, multi function steering wheel."
BMW 216D GRAN TOURER LED NAV 7 SEATER                  ,  68688 ,       17064 ,  103000 ,28-Jun-2017       ,     3.3 ,          1 , 31438 ,  26014 ,  850 ,    1496 ,"Factory fitted audio system, reverse camera/sensors, auto tailgate, auto headlight, electric seats, rear aircon, knockdown rear seats."
BMW 220I COUPE SR HID NAV M SPORT                      , 137688 ,       13769 ,  108000 ,24-Sep-2014       ,     0.5 ,          3 , 37343 ,  34281 , 1350 ,    1997 ,"Factory fitted audio system, Sunroof, multifunction steering wheel, sports rim, reverse sensors, auto headlight, electric seats."
BMW 420I COUPE LED SR NAV MSPT                         , 118688 ,       20076 ,   94000 ,21-Sep-2018       ,     4.5 ,          1 , 46167 ,  56634 , 1350 ,    1998 ,"BMW iDrive, M-Sport rims, Sunroof, reverse camera/sensors, LED headlight/DRL, electric seats, multi function steering wheel."
BMW 520I AT D/AB 2WD 4DR LED NAV                       ,  48688 ,       22052 ,  116000 ,08-May-2015       ,     1.1 ,          2 , 43453 ,  47835 , 1350 ,    1997 ,"Multi function steering wheel, sports rims, auto LED headlight, keyless entry/start/stop, reverse sensors."
HONDA ODYSSEY 2.4 A                                    ,  55388 ,       19859 ,  137000 ,06-Jan-2007       ,     2.8 ,          1 , 28619 ,  31481 , 1180 ,    2354 ,"Factory fitted audio system, Sunroof, multi function steering wheel, reverse sensors, front and rear disc brake."
HONDA SHUTTLE 1.5G CVT SENSING                         ,  95688 ,       13471 ,   28000 ,18-Dec-2020       ,     6.7 ,          2 , 19796 ,   9796 ,  950 ,    1496 ,"Android player, sports rims, knockdown rears seats, 360 camera, eco mode."
KIA SPORTAGE 2.0(A) FWD                                ,  65988 ,       15721 ,   89000 ,18-Aug-2017       ,     3.4 ,          1 , 23561 ,  24986 , 1140 ,    1999 ,"Bi-Xenon headlamps, sports rims, multifunction steering wheel, reverse camera/sensors, knockdown rear seats."
MERCEDES BENZ C180 AVANTGARDE (R17 LED)                , 106588 ,       19902 ,   83000 ,18-Jun-2018       ,     4.2 ,          1 , 37480 ,  44472 , 1150 ,    1595 ,"Electric memory seats, keyless entry/start, collision prevention assist, reverse camera/sensors."
MERCEDES BENZ C180 AVANTGARDE (R17 LED)                ,  66500 ,       20229 ,  103000 ,19-Aug-2016       ,     2.4 ,          3 , 34691 ,  35568 , 1150 ,    1595 ,"Electric tailgate, multi function steering, factory fitted audio system, reverse camera/sensors, electric seats, rain sensors, auto headlight."
MERCEDES BENZ E200 A/T ABS AIRBAGS 2WD SOFTOP          , 159888 ,       15989 ,   72000 ,29-Apr-2014       ,     0.1 ,          1 , 51211 ,  59180 , 1350 ,    1991 ,"Multi function steering wheel, AMG rims, electric memory seats, Bluetooth, paddle shifters, auto fold side mirrors."
MERCEDES BENZ SLK200 ROADSTER (W/O SR)                 , 154687 ,       15469 ,   77000 ,15-Apr-2014       ,     0.1 ,          1 , 53408 ,  63135 , 1350 ,    1796 ,"Factory fitted audio system, reverse sensors, electric memory seats."
MITSUBISHI ATTRAGE 1.2 CVT                             ,  34388 ,       13152 ,   78000 ,26-Aug-2016       ,     2.4 ,          1 , 14471 ,   5000 ,  570 ,    1193 ,"Multi function steering wheel, factory fitted audio system, leather seats, reverse sensors."
BMW 320I LED HL                                        , 163000 ,       20794 ,   41000 ,11-Sep-2020       ,     6.5 ,          3 , 46340 ,  56876 , 1350 ,    1998 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
TOYOTA VELLFIRE 7-SEATER 2.5Z CVT                      , 179000 ,       28104 ,   65000 ,30-Aug-2019       ,     5.4 ,          1 , 42973 ,  52163 , 1340 ,    2493 ,"Sports rims, leather seats,audio system, pre-collision system, lane departure alert, moonroof, dual power sliding doors."
MITSUBISHI LANCER EX 1.6 AT LED TAIL LAMP              ,  49273 ,       13824 ,  105000 ,25-Apr-2017       ,     3.1 ,          3 , 13181 ,  13181 ,  860 ,    1590 ,-
BMW 216I GT LED NAV                                    ,  77800 ,       16156 ,  128808 ,13-Dec-2017       ,     3.7 ,          1 , 30858 ,  35202 ,  750 ,    1499 ,"Factory Fitted Audio System With BT/nav, Keyless Entry/start/stop, Electric Memory Seat, Sports Rims, Reverse Sensors/camera, and Auto LED Headlights."
MERCEDES BENZ E 200CGI                                 ,  71000 ,       12654 ,  153000 ,28-Dec-2009       ,     5.6 ,          5 , 51191 ,  51191 , 1350 ,    1796 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry, Driver's Electric Seat"
VOLKSWAGEN JETTA GP 1.4 TSI 90 A/T TL 1632G7           ,  41999 ,       12570 ,  126500 ,31-Oct-2016       ,     2.6 ,          3 , 18494 ,  18494 ,  900 ,    1390 ,"Multi function steering wheel, factory fitted audio system, leather seat, reverse sensors, retractable side mirrors, knock down rear seats."
OPEL CROSSLAND X F12XHT AT                             ,  96999 ,       12493 ,   49000 ,14-Oct-2021       ,     7.6 ,          1 , 19251 ,   5000 ,  960 ,    1199 ,"Keyless entry/start/stop, blind spot indicator, fold down rear seats, Bluetooth, reverse camera, lane departure warning"
AUDI A4 SEDAN 2.0 TFSI S TRONIC (NAV)                  , 125800 ,       19275 ,   83994 ,24-Sep-2019       ,     5.5 ,          2 , 33715 ,  39201 , 1400 ,    1984 ,"Keyless entry/start, electric seats, 3 zone aircon, auto LED headlights, rear dynamic indicators, Bluetooth, reverse camera."
AUDI RS5 4.2 FSI QUATTRO                               , 119000 ,       17557 ,  118000 ,21-Apr-2011       ,     6.8 ,          6 , 96479 ,  96479 , 3310 ,    4163 ,"Audi RS semi bucket seats, Reverse camera, Panaromic Roof, Bluetooth handsfree kit, Bang & Olusfen sound system and speakers."
MERCEDES BENZ B180 STYLE (R16 LED)                     ,  75000 ,       18467 ,   72000 ,17-Aug-2017       ,     3.4 ,          1 , 26732 ,  24425 ,  900 ,    1595 ,"Keyless Entry. LED DRL. Android Headunit. Harman Kardon speakers. 18"" sports rim, original leather interior. Reverse sensors/camera. Cruise control."
VOLKSWAGEN SHARAN 2.0 TSI AT 7N14H3                    ,  42555 ,       17435 ,   97000 ,31-Mar-2015       ,     1.0 ,          3 , 41054 ,  49476 , 1470 ,    1984 ,"Full Panoramic roof, electric memory seats, electric tailgate, heated seats, auto sliding door, factory fitted infotainment system, rear aircon system"
MERCEDES BENZ E200 AVG (R18 LED)                       , 141800 ,       24354 ,   21000 ,13-Aug-2018       ,     4.4 ,          2 , 54268 ,  69683 , 1350 ,    1991 ,"Electric memory seats, Soft-Closing All Doors, 64 ambient lighting, rear aircon, 360camera, multifunction steering wheel, kick boot auto tailgate."
BMW 640I 3.0 AT ABS D/AB HID DSC NAV HUD               , 149000 ,       18373 ,   51900 ,22-May-2012       ,     8.1 ,          5 , 78176 ,  78176 , 2350 ,    2979 ,"Electric Seats, Reverse Camera/Sensors, Keyless Entry/Start, Headsup Display, Upgraded Sports Rims"
VOLKSWAGEN ARTEON ELEGANCE 2.0 TSI                     , 235000 ,       22781 ,    6500 ,21-Sep-2023       ,     9.5 ,          1 , 32215 ,  37101 , 1400 ,    1984 ,"Auto Head Lights, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
LAND ROVER DISCOVERY SPORT 2.0P SE 7 SEATER            , 175800 ,       25394 ,   65000 ,30-Mar-2020       ,     6.0 ,          1 , 38499 ,  45899 , 1470 ,    1997 ,"Multi-function steering wheel, paddle shifters, multi-zone/rear aircon, electric memory seats, Reverse camera, front/rear parking sensors."
MINI ONE 5DR HB (LCI)                                  , 103555 ,       14587 ,   77888 ,31-Aug-2020       ,     6.4 ,          1 , 26516 ,  19123 ,  750 ,    1499 ,"Sports rims, MINI visual boost with 6.5"" LCD screen, multi function steering wheel, Bluetooth, USB, reverse camera and sensor."
TOYOTA COROLLA ALTIS 1.6 CVT CLASSIC / ELEGANCE        ,  53800 ,       14735 ,  120000 ,14-Mar-2017       ,     3.0 ,          1 , 19995 ,  19995 ,  900 ,    1598 ,"Electric Leather seats, keyless entry. Push start/stop. Reverse camera. Factory fitted audio player. Multi steering function"
BMW 216I GRAN TOURER HALOGEN LIGHT                     , 115800 ,       18029 ,  110000 ,02-Dec-2019       ,     5.7 ,          2 , 24441 ,  26218 ,  800 ,    1499 ,"Monitor camera front / back, BMW iDrive, audio system/Bluetooth telephony. Leather seats. Reverse camera with park assist. Automatic tailgate."
MERCEDES BENZ A180 FL STYLE (R17 HLG)                  ,  66000 ,       22006 ,  120000 ,20-Oct-2016       ,     2.6 ,          1 , 22609 ,  18653 ,  900 ,    1595 ,"Factory fitted audio system with Bluetooth, reverse sensors, retractable side mirrors, multi function steering, knockdown rear seats, front electric/memory seats"
LAND ROVER DISCOVERY SPORT 2.0 SI4 SE 7STR             ,  82000 ,       26959 ,   91500 ,25-Sep-2015       ,     1.5 ,          4 , 61448 ,  82607 , 1770 ,    1999 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
MERCEDES BENZ GLB200 SPORT AUTO                        , 182000 ,       23591 ,   31000 ,09-Feb-2021       ,     6.9 ,          1 , 33680 ,  39152 , 1200 ,    1332 ,LED daylights and headlights. Heads up display. Apple CarPlay/Android. Lane assist. Brake assist. Electric tailgate.
MERCEDES BENZ A200 SPORT SALOON AUTO                   , 141000 ,       18890 ,   66411 ,24-Aug-2020       ,     6.4 ,          3 , 33839 ,  39375 , 1200 ,    1332 ,"Multibeam headlights, Factory fitted infotainment system with Apple CarPlay, Digital instrument cluster, Keyless entry & ignition and more!"
BMW X1 SDRIVE18I AT LED NAV                            ,  68000 ,       23533 ,   99000 ,04-Jul-2016       ,     2.3 ,          2 , 29796 ,  28715 , 1000 ,    1499 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Multi-zone Aircon, Driver's Electric Seat, Electric Tailgate"
MAZDA 6 SEDAN 2.0 AT EXECUTIVE 2WD                     ,  80800 ,       15976 ,   70000 ,27-Jul-2018       ,     4.3 ,          2 , 21910 ,  22674 , 1210 ,    1998 ,"Sports rims, front electric leather seats, audio with GPS and Bose sound system, reverse sensors & camera, blind spot monitor, lane departure warning."
JAGUAR XE 2.0 I4D TSS                                  ,  62000 ,       17355 ,   80000 ,18-Nov-2016       ,     2.7 ,          1 , 35607 ,  31850 , 1320 ,    1999 ,"Premium leather seats, 8 inch infotainment system with navigation, Bluetooth."
MINI JOHN COOPER WORKS HB 1.6 AT SR HID ABS            , 142800 ,       15412 ,   30000 ,27-Jun-2013       ,     9.3 ,          2 , 34136 ,  39791 , 1550 ,    1598 ,"Red & Black Dual Tone. Dual Sunroof. Classic MINI Odometer. JCW Brake Kit. JCW Steering Wheel. JCW Bonnet Hood. 17"" Sports Rims. Leather Seats."
PORSCHE 911 CARRERA S 3.8 A                            , 215000 ,       44971 ,  130000 ,11-May-2010       ,     4.8 ,          5 ,115405 , 115405 , 2830 ,    3800 ,"PASM, sports chrono, premium red leather package, sports steering with paddle shift, sports seats, 19"" sports design wheels, premium sound system."
TOYOTA ESQUIRE 2.0 GI CVT ABS D/AIRBAG 2WD 5DR         ,  85800 ,       23093 ,   84000 ,03-Mar-2017       ,     2.9 ,          1 , 31215 ,  35701 , 1120 ,    1986 ,-
BMW M3 M-DCT 4.0 SMT ABS D/AB HID HBA 2WD              , 143800 ,       28603 ,  175000 ,21-Jul-2009       ,     5.0 ,          5 ,106509 , 106509 , 3080 ,    3999 ,"Factory fitted iDrive system, CarPlay with Harman Kardon upgraded sound system and satellite navigation, stock condition!"
HONDA CIVIC 1.6 VTI CVT                                ,  98600 ,       16556 ,   47130 ,25-Jul-2019       ,     5.3 ,          1 , 20215 ,  20301 ,  920 ,    1597 ,"Leather seat, sport rim, factory fitted touchscreen audio, reverse sensor, reverse camera, retractable side mirrors, multi function steering."
INFINITI Q50 2.0T PREMIUM A/T                          ,  44800 ,       19221 ,  106000 ,31-Aug-2015       ,     1.4 ,          3 , 30219 ,  34307 , 1550 ,    1991 ,"Electric Leather Seats. Auto Headlights. Sports Rims. Rear Aircon. Bluetooth. 360 + Reverse Camera & Sensors. Brand New 17"" Bridgestone Tyres."
HONDA VEZEL 1.5X CVT                                   ,  66588 ,       15114 ,   88000 ,06-Apr-2018       ,     4.0 ,          1 , 20789 ,  11105 ,  960 ,    1496 ,"2tone sports red & black interior. Front & back recorders. Reverse camera & sensors. Pioneer infotainment + Bluetooth. 17"" sports rims. Brake hold."
VOLKSWAGEN NEW GOLF 1.4 TSI AT 5K14Q5                  ,  88800 ,       13607 ,  199207 ,02-Nov-2010       ,     6.5 ,          6 , 25857 ,  25857 , 1180 ,    1390 ,"Golf R bodykit, K SPORTS COILOVER, Leather seats, Sports rims, Built-in Audio system, Reverse sensors, Auto headlight, Rain sensor, fog light, rear aircon."
NISSAN X-TRAIL 2.0 CVT                                 , 108800 ,       18265 ,   90000 ,19-Jun-2019       ,     5.2 ,          1 , 24391 ,  26148 , 1060 ,    1997 ,"Panoramic Sunroof, Leather seats, factory-fitted infotainment system with a navigation system, electric auto tailgate, rear aircon."
HONDA VEZEL 1.5X CVT                                   ,  53800 ,       15700 ,   97000 ,05-Apr-2017       ,     3.0 ,          1 , 21691 ,  12368 ,  960 ,    1496 ,"Leather upholstery, keyless entry, push start/stop, reverse sensors/camera, knock-down rear seats, stock infotainment with Bluetooth, Honda magic seat."
VOLVO V40 T2 (A)                                       ,  71800 ,       14247 ,   79894 ,22-May-2018       ,     4.2 ,          3 , 23530 ,  24942 ,  900 ,    1498 ,"19"" sports rims. H&R spring. Multifunction function steering with user friendly infotainment. Keyless entry/start/stop."
HONDA SHUTTLE 1.5G CVT SENSING                         , 108500 ,       15338 ,   56671 ,27-Jan-2021       ,     6.8 ,          1 , 21355 ,   6897 ,  950 ,    1496 ,"Multi function steering, keyless entry/start, sports rims, brown leather seats, climatic aircon, retractable side mirrors, reverse sensors/camera."
MERCEDES BENZ C200 AMG LINE M-HYBRID AUTO              , 167800 ,       21706 ,   42000 ,28-Aug-2020       ,     6.4 ,          2 , 45871 ,  56220 , 1450 ,    1497 ,"18"" AMG alloys, keyless entry/start, auto headlights, LED DRL, climatic aircon, reverse camera."
INFINITI Q50 2.0T LUXE A/T (R18) EU6                   ,  95888 ,       15685 ,   60535 ,26-Mar-2019       ,     5.0 ,          3 , 30477 ,  34668 , 1550 ,    1991 ,"Auto LED headlights and daytime lights. Rain sensing. Multi zone/rear aircon. Electric and memory seats, Sunroof. All round parking sensors and cam."
HYUNDAI TL TUCSON 2.0 GLS AT 2WD SR (EPB)              ,  65800 ,       17461 ,   72999 ,24-Apr-2017       ,     3.1 ,          2 , 22761 ,  23866 , 1140 ,    1999 ,"Leather seats, keyless start/stop, touch screen head unit, electric driver seat, reverse camera/sensor, multi-functional steering wheel."
TOYOTA PRIUS PLUS (AUTO)                               ,  94800 ,       17819 ,  160000 ,13-Nov-2018       ,     4.6 ,          1 , 30006 ,  24009 , 1000 ,    1798 ,"Premium Leather Seats, Reverse Camera And Sensors, Bluetooth, Multi Function Steering Wheel, Knockdown Rear Seats, Digital Climatic Control."
VOLKSWAGEN SPORTSVAN 1.4 HIGHLINE AM14HZ               ,  63800 ,       15805 ,   82000 ,15-Jun-2017       ,     3.2 ,          2 , 27557 ,  25580 ,  920 ,    1395 ,"Upgraded Rims, Sport Suspension, Factory Audio With Bluetooth And Navigation, Reverse Sensor And Camera, HID Headlight, Hill Start Assist, Rain Sensor."
HONDA SHUTTLE 1.5G                                     ,  55800 ,       15670 ,   58000 ,10-Jul-2017       ,     3.3 ,          1 , 18305 ,   8305 ,  970 ,    1496 ,"Sport Rims, Leather Seats, DVD Player With Bluetooth Interface, road Recording Camera, Solar Films, Reverse Camera/Sensors, Knockdown Rear Seats."
AUDI A6 1.8 TFSI ULTRA (PI) (NAV)                      , 103000 ,       20742 ,  135000 ,08-Jan-2018       ,     3.8 ,          1 , 40419 ,  48587 , 1400 ,    1798 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
MERCEDES BENZ C200 AMG LINE AUTO                       , 128800 ,       23921 ,   91375 ,27-Jul-2018       ,     4.3 ,          1 , 41228 ,  49720 , 1350 ,    1991 ,"Panoramic roof, driver/passenger memory seats. Electric tailgate, parking assist, parktronic reverse camera. All round sensors."
MERCEDES BENZ G63 AMG 4MATIC AUTO                      , 788000 ,       85434 ,   13000 ,21-Jan-2022       ,     7.8 ,          1 ,147559 , 237607 , 4300 ,    3982 ,"Night Package Option, 22"" AMG forged wheels, AMG-specific IWC Design Clock, Thermotronic Climate Control, 15 Speakers Burmester System, Multibeam LED, Ambient Lights."
TOYOTA SIENTA HYBRID 1.5X CVT                          , 114800 ,       15771 ,   22188 ,08-Feb-2021       ,     6.9 ,          1 , 25312 ,  12437 ,  730 ,    1496 ,"Keyless Entry & Start/Stop. Power Sliding Door. Leather Seat. Upgraded 16"" Sport Rim. Upgraded Player With Reverse Camera & Sensor. Leather Seat."
BMW 528I AT DSC HID NAV                                ,  50888 ,       25175 ,   66000 ,13-May-2015       ,     1.1 ,          1 , 41091 ,  44528 , 1800 ,    1997 ,"Auto Head Lights, Electric Folding Side Mirrors, Multi-function Steering Wheel, Keyless Entry and Engine Start, Driver's Electric Seat, Electric Tailgate"
AUDI Q3 1.4 TFSI S TRONIC                              ,  69999 ,       18667 ,   87000 ,22-Feb-2017       ,     2.9 ,          3 , 27901 ,  31062 , 1100 ,    1395 ,"Sports rims. Leather upholstery. Audi drive select, factory audio system. Driver electric seats. Reverse senso"
MASERATI QUATTROPORTE 3.0 V6                           , 350000 ,       39183 ,   13000 ,21-Dec-2020       ,     6.7 ,          3 ,110661 , 171190 , 2570 ,    2979 ,"Agent unit, high performance Sedan. Spacious interior with ample leg room. very Well maintained by owner."
TOYOTA HARRIER 2.0S CVT                                , 169900 ,       19831 ,   55000 ,28-Oct-2021       ,     7.6 ,          2 , 33121 ,  38370 , 1260 ,    1986 ,"Reverse camera, LED headlamps, cruise control. Factory fitted audio with Bluetooth interface, reverse camera, multi function steering, keyless entry!"
HYUNDAI ACCENT (RB) 1.4 CVT ABS D/AIRBAG 2WD           ,  34900 ,       13832 ,   89000 ,03-May-2016       ,     2.1 ,          2 , 11366 ,  11366 ,  736 ,    1368 ,Sport rims. Leather seats. Knock down rear seats. Remote keys. Factory fitted audio player. Reverse sensors.
MERCEDES BENZ B180 STYLE R17 LED                       , 134888 ,       18385 ,   41998 ,25-Aug-2020       ,     6.4 ,          3 , 29676 ,  33547 , 1000 ,    1332 ,"17"" Sports Rims, Navi System, TouchPad, Bluetooth, Parking Assistance, Parktronic, Reverse Camera, Active Brake Assist, Recording Camera, Solar Film."
CHEVROLET AVEO 1.4AT 5DR T255                          ,  55800 ,        9517 ,   82000 ,26-Feb-2010       ,     5.9 ,          4 , 10264 ,  10264 ,  690 ,    1399 ,"Sports rims, leather seats, fog lights, reverse sensors, factory fitted audio."
